File_Name,Lat,Lon
72402093739,37.93718,-75.46629
72402603716,37.64667,-75.76083
72403093738,38.93486,-77.44728
72403303706,38.26667,-77.44917
72403513773,38.50362,-77.30503
72403603710,38.72139,-77.51528
72403793728,38.71667,-77.18333
72404013721,38.3,-76.41667
72404303756,38.80417,-76.06889
72405013743,38.8472,-77.03454
72405503714,39.07778,-77.5575
72405713701,39.4716,-76.1697
72406093721,39.1733,-76.684
72406599999,39.085386,-76.759414
72406693706,39.7062,-77.7304
72406793744,39.33333,-76.41667
72407093730,39.45202,-74.56699
72407493780,39.94075,-74.84083
72407513735,39.36623,-75.0778
72407754779,41.00928,-74.73633
72408013739,39.87327,-75.22678
72408454760,40.18333,-74.13333
72408594732,40.07892,-75.01341
72408813707,39.13333,-75.46667
72409014780,40.03333,-74.35
72409313764,38.68974,-75.36253
72409454743,40.87639,-74.28306
72409514792,40.27679,-74.81594
72409614706,40.01667,-74.6
72409754738,40.8,-74.41667
72418013781,39.6744,-75.60567
72498894704,42.57083,-77.71333
72501454780,41.07306,-71.92333
72501504789,41.50917,-74.265
72501654790,40.82167,-72.86889
72502014734,40.6825,-74.1694
72502594741,40.85,-74.06139
72502754788,41.50972,-72.82778
72502964707,41.48333,-73.13333
72503014732,40.77944,-73.88035
72503614757,41.62574,-73.88156
72503794745,41.06236,-73.70463
72503814714,41.5,-74.1
72504094702,41.16422,-73.12669
72504514758,41.26389,-72.88722
72504614707,41.3275,-72.04944
72505004781,40.79388,-73.10189
72505394728,40.77898,-73.96925
72505464710,41.92056,-71.49111
72505894793,41.16806,-71.57778
72505914702,42.47,-71.28944
72506014756,41.25306,-70.06083
72506114704,41.65,-70.51667
72506454769,41.90972,-70.72944
72506594726,41.67639,-70.95833
72506694724,41.39306,-70.615
72506794720,41.66861,-70.28
72506854777,41.87556,-71.02111
72506994624,41.6875,-69.99333
72507014765,41.7225,-71.4325
72507364708,42.07194,-70.22111
72507454752,41.59713,-71.41213
72507554768,42.69728,-73.16967
